province,city,area,phase_or_block,sub_block,category,plot_type,rate_pkr,rate_unit,source_type,source_document,source_page,effective_date,notes
Punjab,Lahore,Johar Town,Main Roads,,Residential,Regular,1930600,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,6,2024-11-01,
Punjab,Rawalpindi,Bahria Town,Phase 1,,Residential,Regular,5502.6,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,Off Road
Punjab,Rawalpindi,Bahria Town,Phase 1,,Commercial,Regular,16528.9,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,On Road
Punjab,Rawalpindi,Bahria Town,Phase 2,,Residential,Regular,5502.6,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,Off Road
Punjab,Rawalpindi,Bahria Town,Phase 2,,Commercial,Regular,16528.9,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,On Road
Punjab,Rawalpindi,Bahria Town,Phase 3,,Residential,Regular,5502.6,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,Off Road
Punjab,Rawalpindi,Bahria Town,Phase 3,,Commercial,Regular,16758.4,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,On Road
Punjab,Rawalpindi,Bahria Town,Phase 4,,Residential,Regular,5502.6,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,Off Road
Punjab,Rawalpindi,Bahria Town,Phase 4,,Commercial,Regular,16758.4,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,On Road
Punjab,Rawalpindi,Bahria Town,Phase 5,,Residential,Regular,5502.6,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,Off Road
Punjab,Rawalpindi,Bahria Town,Phase 5,,Commercial,Regular,16758.4,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,374,2024-11-01,On Road
Punjab,Rawalpindi,Bahria Town,Phase 6,,Residential,Regular,5502.6,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,375,2024-11-01,Off Road
Punjab,Rawalpindi,Bahria Town,Phase 7,,Residential,Regular,3966.9,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,375,2024-11-01,Off Road
Punjab,Rawalpindi,Bahria Town,Phase 7,,Commercial,Regular,16758.8,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,375,2024-11-01,On Road
Punjab,Rawalpindi,Bahria Town,Phase 8,,Residential,Regular,3085.4,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,375,2024-11-01,Off Road
Punjab,Rawalpindi,Bahria Town,Phase 8,,Commercial,Regular,13085.7,per_sq_ft,FBR,FBR_Rawalpindi_SRO1728_I_2024.pdf,375,2024-11-01,On Road
ICT,Islamabad,E-7,,,Residential,Regular,225000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,2,2026-04-16,Open plot; header OCR weak
ICT,Islamabad,E-11,E-11/1-2,,Residential,Regular,70000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,2,2026-04-16,
ICT,Islamabad,E-11,E-11/3-4,,Residential,Regular,100000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,2,2026-04-16,
ICT,Islamabad,F-6,,,Residential,Regular,210000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,2,2026-04-16,F-6/F-7 grouped
ICT,Islamabad,F-7,,,Residential,Regular,210000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,2,2026-04-16,F-6/F-7 grouped
ICT,Islamabad,F-8,,,Residential,Regular,200000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,2,2026-04-16,
ICT,Islamabad,F-10,,,Residential,Regular,175000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,3,2026-04-16,
ICT,Islamabad,F-11,,,Residential,Regular,160000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,3,2026-04-16,
ICT,Islamabad,G-9,,,Residential,Regular,130000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,5,2026-04-16,
ICT,Islamabad,G-10,,,Residential,Regular,125000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,6,2026-04-16,
ICT,Islamabad,G-11,,,Residential,Regular,125000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,6,2026-04-16,
ICT,Islamabad,G-13,,,Residential,Regular,70000,per_sq_yd,FBR,FBR_Islamabad_SRO644_I_2026.pdf,6,2026-04-16,
